season,team_id,game_pk,n_bip,dpi_speed
2015,SD,413817,31,1.667
2015,LAD,413811,26,4.494
2015,MIN,413810,31,2.248
2015,SEA,413803,28,4.761
2015,WSH,413801,24,-2.232
2015,PHI,413801,29,-3.415
2015,PIT,413798,25,0.791
2015,CIN,413794,21,0.202
2015,CWS,413793,28,3.505
2015,HOU,413789,23,0.829
2015,LAA,413789,30,0.112
2015,WSH,413787,26,3.282
2015,PHI,413787,20,-0.807
2015,MIL,413786,28,0.272
2015,MIN,413784,35,0.393
2015,WSH,413782,23,1.726
2015,NYM,413779,30,0.265
2015,ATH,413778,19,-0.925
2015,MIA,413775,23,2.882
2015,CIN,413771,28,-1.27
2015,CLE,413770,19,1.437
2015,AZ,413769,25,-0.792
2015,PHI,413764,28,-0.484
2015,ATH,413763,26,-0.469
2015,HOU,413763,25,0.552
2015,COL,413759,25,10.819
2015,BOS,413754,23,0.603
2015,TOR,413753,22,2.029
2015,MIA,413747,20,-0.108
2015,DET,413745,23,-1.064
2015,SF,413744,30,-3.178
2015,SF,413736,26,0.53
2015,SD,413736,21,-0.741
2015,SEA,413735,36,-2.826
2015,MIN,413732,30,-2.007
2015,COL,413727,26,-0.653
2015,BAL,413724,20,2.846
2015,SF,413721,35,-5.56
2015,PIT,413719,25,1.149
2015,LAD,413716,25,-0.367
2015,DET,413713,27,1.121
2015,CHC,413712,28,-2.258
2015,NYY,413711,34,0.0
2015,ATH,413705,22,8.387
2015,ATL,413703,22,-0.26
2015,MIN,413702,21,0.0
2015,CHC,413697,27,-1.724
2015,NYM,413690,22,-0.115
2015,BOS,413686,22,1.698
2015,STL,413693,15,2.392
2015,LAD,413681,25,-0.487
2015,NYM,413679,23,1.483
2015,DET,413678,22,1.589
2015,COL,413677,28,-0.527
2015,CLE,413676,17,-0.993
2015,TB,413673,16,-0.534
2015,ATL,413672,25,1.551
2015,TEX,413670,23,-1.27
2015,SF,413669,24,3.715
2015,TOR,413663,24,11.55
2015,WSH,413657,25,-1.462
2015,COL,413655,24,1.441
2015,TB,413651,23,0.0
2015,NYY,413923,23,0.0
