team_id,season,blup,pipeline
PIT,2023,0.06238,v2_strip_park_frozen
PIT,2024,-0.09754,v2_strip_park_frozen
PIT,2025,0.10631,v2_strip_park_frozen
SD,2015,-0.06301,v2_strip_park_frozen
SD,2016,-0.04091,v2_strip_park_frozen
SD,2017,-0.12089,v2_strip_park_frozen
SD,2018,0.0248,v2_strip_park_frozen
SD,2019,-0.02208,v2_strip_park_frozen
SD,2020,0.10775,v2_strip_park_frozen
SD,2021,0.04429,v2_strip_park_frozen
SD,2022,-0.05211,v2_strip_park_frozen
SD,2023,0.04172,v2_strip_park_frozen
SD,2024,-0.07751,v2_strip_park_frozen
SD,2025,-0.03075,v2_strip_park_frozen
SEA,2015,-0.12979,v2_strip_park_frozen
SEA,2016,0.00534,v2_strip_park_frozen
SEA,2017,-0.02136,v2_strip_park_frozen
SEA,2018,-0.06862,v2_strip_park_frozen
SEA,2019,-0.07524,v2_strip_park_frozen
SEA,2020,0.0197,v2_strip_park_frozen
SEA,2021,0.00168,v2_strip_park_frozen
SEA,2022,0.00792,v2_strip_park_frozen
SEA,2023,-0.06092,v2_strip_park_frozen
SEA,2024,-0.02014,v2_strip_park_frozen
SEA,2025,-0.00435,v2_strip_park_frozen
SF,2015,0.28819,v2_strip_park_frozen
SF,2016,0.20519,v2_strip_park_frozen
SF,2017,-0.04022,v2_strip_park_frozen
SF,2018,-0.02185,v2_strip_park_frozen
SF,2019,0.21937,v2_strip_park_frozen
SF,2020,0.0308,v2_strip_park_frozen
SF,2021,0.06881,v2_strip_park_frozen
SF,2022,-0.17757,v2_strip_park_frozen
SF,2023,-0.03192,v2_strip_park_frozen
SF,2024,-0.10083,v2_strip_park_frozen
SF,2025,-0.11137,v2_strip_park_frozen
STL,2015,0.01557,v2_strip_park_frozen
STL,2016,-0.21679,v2_strip_park_frozen
STL,2017,-0.13272,v2_strip_park_frozen
STL,2018,-0.09802,v2_strip_park_frozen
STL,2019,0.10788,v2_strip_park_frozen
STL,2020,0.16193,v2_strip_park_frozen
STL,2021,0.29758,v2_strip_park_frozen
STL,2022,0.14523,v2_strip_park_frozen
STL,2023,-0.17416,v2_strip_park_frozen
STL,2024,-0.0098,v2_strip_park_frozen
STL,2025,-0.05753,v2_strip_park_frozen
TB,2015,0.16465,v2_strip_park_frozen
TB,2016,-0.16266,v2_strip_park_frozen
TB,2017,0.09147,v2_strip_park_frozen
TB,2018,0.3286,v2_strip_park_frozen
TB,2019,0.0724,v2_strip_park_frozen
TB,2020,0.07019,v2_strip_park_frozen
TB,2021,0.27617,v2_strip_park_frozen
TB,2022,0.05316,v2_strip_park_frozen
TB,2023,0.13356,v2_strip_park_frozen
TB,2024,0.06078,v2_strip_park_frozen
TB,2025,-0.05528,v2_strip_park_frozen
TEX,2015,0.02745,v2_strip_park_frozen
TEX,2016,0.05207,v2_strip_park_frozen
TEX,2017,0.02259,v2_strip_park_frozen
TEX,2018,-0.05284,v2_strip_park_frozen
TEX,2019,-0.09983,v2_strip_park_frozen
TEX,2020,-0.03308,v2_strip_park_frozen
TEX,2021,0.08916,v2_strip_park_frozen
TEX,2022,0.13643,v2_strip_park_frozen
TEX,2023,0.12174,v2_strip_park_frozen
TEX,2024,0.17329,v2_strip_park_frozen
TEX,2025,0.2302,v2_strip_park_frozen
TOR,2015,-0.03336,v2_strip_park_frozen
TOR,2016,0.07127,v2_strip_park_frozen
TOR,2017,-0.19312,v2_strip_park_frozen
TOR,2018,-0.2979,v2_strip_park_frozen
TOR,2019,-0.04804,v2_strip_park_frozen
TOR,2020,-0.08153,v2_strip_park_frozen
TOR,2021,-0.00303,v2_strip_park_frozen
TOR,2022,-0.01212,v2_strip_park_frozen
TOR,2023,-0.01244,v2_strip_park_frozen
TOR,2024,0.13173,v2_strip_park_frozen
TOR,2025,0.06795,v2_strip_park_frozen
WSH,2015,-0.00808,v2_strip_park_frozen
WSH,2016,0.07081,v2_strip_park_frozen
WSH,2017,0.0128,v2_strip_park_frozen
WSH,2018,-0.0935,v2_strip_park_frozen
WSH,2019,0.10498,v2_strip_park_frozen
WSH,2020,-0.14051,v2_strip_park_frozen
WSH,2021,-0.12009,v2_strip_park_frozen
WSH,2022,-0.15246,v2_strip_park_frozen
WSH,2023,-0.02814,v2_strip_park_frozen
WSH,2024,-0.10631,v2_strip_park_frozen
WSH,2025,-0.04203,v2_strip_park_frozen
ATH,2015,-0.00682,v2_final_strip_park_speed
ATH,2016,-0.11449,v2_final_strip_park_speed
ATH,2017,0.0019,v2_final_strip_park_speed
ATH,2018,0.2817,v2_final_strip_park_speed
ATH,2019,0.03882,v2_final_strip_park_speed
ATH,2020,-0.03051,v2_final_strip_park_speed
ATH,2021,0.03254,v2_final_strip_park_speed
ATH,2022,-0.04715,v2_final_strip_park_speed
ATH,2023,-0.05885,v2_final_strip_park_speed
ATH,2024,-0.10879,v2_final_strip_park_speed
ATH,2025,-0.13025,v2_final_strip_park_speed
ATL,2015,-0.03671,v2_final_strip_park_speed
ATL,2016,0.18566,v2_final_strip_park_speed
ATL,2017,0.04027,v2_final_strip_park_speed
ATL,2018,0.22106,v2_final_strip_park_speed
ATL,2019,0.08359,v2_final_strip_park_speed
ATL,2020,-0.02722,v2_final_strip_park_speed
ATL,2021,0.13331,v2_final_strip_park_speed
ATL,2022,-0.04719,v2_final_strip_park_speed
ATL,2023,-0.06891,v2_final_strip_park_speed
ATL,2024,-0.16595,v2_final_strip_park_speed
ATL,2025,0.03588,v2_final_strip_park_speed
