player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
543257,Robbie Grossman,batter,0.441,0.441,0.0,0.0,0.0,34.0,3.63,1591.0,-0.23
660825,Eduard Bazardo,pitcher,0.441,-0.059,0.5,0.0,0.0,28.0,0.59,35.1,-0.02
571863,Matt Koch,pitcher,0.44,-0.06,0.5,0.0,0.0,33.0,0.34,42.3,-0.45
663837,Matt Vierling,batter,0.44,0.44,0.0,0.0,0.0,27.0,1.29,979.0,2.83
605204,J. D. Davis,batter,0.439,0.439,0.0,0.0,0.0,31.0,2.4,1122.0,-0.36
543877,Christian Vázquez,batter,0.439,0.439,0.0,0.0,0.0,33.0,2.92,1332.0,-0.22
623211,Huascar Brazobán,pitcher,0.438,0.438,0.0,0.0,0.0,34.0,1.79,91.2,0.22
663989,Nick Vespi,pitcher,0.437,-0.061,0.498,0.0,0.0,28.0,0.3,40.3,0.21
676391,Ernie Clement,batter,0.437,-0.045,0.482,0.0,0.0,28.0,0.13,364.0,3.31
670242,Matt Wallner,batter,0.436,0.733,-0.297,0.0,0.0,26.0,1.85,331.0,2.15
676680,Tom Cosgrove,pitcher,0.436,0.936,-0.5,0.0,0.0,28.0,1.51,51.1,-0.88
669743,Alex Call,batter,0.434,0.434,0.0,0.0,0.0,29.0,1.42,570.0,1.5
608385,Jesse Winker,batter,0.432,0.062,0.37,0.0,0.0,30.0,1.81,1231.0,1.93
680704,Nick Sandlin,pitcher,0.427,0.427,0.0,0.0,0.0,27.0,1.85,137.4,-0.07
656896,Emmanuel Rivera,batter,0.425,0.425,0.0,0.0,0.0,28.0,1.92,758.0,-0.34
660761,José Suarez,pitcher,0.425,0.425,0.0,0.0,0.0,26.0,2.36,240.3,-0.59
656638,Alex Lange,pitcher,0.424,0.424,0.0,0.0,0.0,28.0,1.81,164.3,-0.6
624424,Michael Conforto,batter,0.419,0.419,0.0,0.0,0.0,31.0,1.28,949.0,1.29
674072,Tommy Henry,pitcher,0.416,0.416,0.0,0.0,0.0,26.0,0.95,136.0,-0.76
527054,Julio Teherán,pitcher,0.413,0.142,0.271,0.0,0.0,33.0,0.74,76.2,-0.2
664983,Jake McCarthy,batter,0.412,0.912,-0.5,0.0,0.0,26.0,3.28,736.0,1.64
664238,Dylan Moore,batter,0.409,0.409,0.0,0.0,0.0,31.0,2.81,806.0,2.09
667755,José Soriano,pitcher,0.408,0.408,0.0,0.0,0.0,25.0,0.44,42.0,1.94
672356,Gabriel Arias,batter,0.407,0.407,0.0,0.0,0.0,24.0,-0.15,413.0,-0.38
682990,Quinn Priester,pitcher,0.406,-0.094,0.5,0.0,0.0,23.0,-0.93,50.0,-0.07
682842,Abner Uribe,pitcher,0.405,0.905,-0.5,0.0,0.0,24.0,0.97,32.0,-0.44
571760,Andrew Heaney,pitcher,0.404,0.404,0.0,0.0,0.0,33.0,1.73,362.5,0.36
669004,MJ Melendez,batter,0.399,0.399,0.0,0.0,0.0,25.0,0.09,1136.0,-0.72
592669,Hunter Renfroe,batter,0.398,0.864,-0.466,0.0,0.0,32.0,4.35,1685.0,0.14
669622,Anthony Bender,pitcher,0.396,0.396,0.0,0.0,0.0,29.0,1.69,80.2,0.67
592626,Joc Pederson,batter,0.395,0.395,0.0,0.0,0.0,32.0,1.88,1387.0,2.82
664314,Estevan Florial,batter,0.394,-0.034,0.428,0.0,0.0,26.0,-0.14,131.0,0.1
670174,Josh Winckowski,pitcher,0.394,0.694,0.0,0.0,-0.3,26.0,1.48,154.2,0.17
678246,Miguel Vargas,batter,0.39,0.39,0.0,0.0,0.0,24.0,-0.25,354.0,-0.8
656458,Lucas Gilbreath,pitcher,0.39,0.39,0.0,0.0,0.0,28.0,1.46,85.2,-0.4
663616,Trevor Larnach,batter,0.387,0.387,0.0,0.0,0.0,27.0,1.8,693.0,1.29
621051,Steven Wilson,pitcher,0.384,0.384,0.0,0.0,0.0,29.0,1.36,109.2,-0.64
640462,A. J. Puk,pitcher,0.384,0.384,0.0,0.0,0.0,29.0,1.76,136.4,1.22
672724,Oswald Peraza,batter,0.384,0.384,0.0,0.0,0.0,24.0,0.0,251.0,0.06
663941,Tristan Beck,pitcher,0.378,0.786,-0.408,0.0,0.0,28.0,1.07,85.0,0.51
656234,Jake Bird,pitcher,0.376,0.376,0.0,0.0,0.0,28.0,1.1,136.3,0.39
