player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
668933,Graham Ashcraft,pitcher,2.214,2.214,0.0,26.0,3.35,250.2,0.28
682641,Luis Matos,batter,2.201,2.201,0.0,22.0,-0.37,253.0,-0.17
621107,Zach Eflin,pitcher,2.201,2.201,0.0,30.0,6.46,373.5,2.79
669720,Austin Hays,batter,2.198,2.698,-0.5,28.0,8.78,1690.0,-0.19
572233,Christian Walker,batter,2.195,2.195,0.0,33.0,9.34,1848.0,2.52
682622,Noelvi Marte,batter,2.191,2.526,-0.335,22.0,0.79,123.0,-1.77
592662,Robbie Ray,pitcher,2.173,1.687,0.486,32.0,8.67,388.4,0.01
672580,Maikel García,batter,2.173,2.173,0.0,24.0,0.98,538.0,1.41
687093,Vaughn Grissom,batter,2.172,2.172,0.0,23.0,0.06,240.0,-0.12
691023,Jordan Walker,batter,2.171,2.43,-0.26,22.0,-0.11,465.0,-0.83
666158,Gavin Lux,batter,2.168,2.486,-0.318,26.0,4.22,883.0,2.01
663624,Ryan Mountcastle,batter,2.165,1.665,0.5,27.0,4.7,1678.0,2.35
571970,Max Muncy,batter,2.165,2.165,0.0,33.0,10.59,1764.0,2.96
678009,Parker Meadows,batter,2.145,2.145,0.0,24.0,0.95,145.0,2.12
595879,Javier Báez,batter,2.138,2.138,0.0,31.0,7.49,1684.0,-1.17
664040,Brandon Lowe,batter,2.129,2.129,0.0,29.0,7.55,1335.0,2.35
643446,Jeff McNeil,batter,2.113,2.613,-0.5,32.0,9.75,1674.0,1.54
596146,Max Kepler,batter,2.112,2.112,0.0,31.0,6.47,1451.0,0.96
687952,Christian Encarnacion-Strand,batter,2.107,2.107,0.0,24.0,0.45,241.0,-1.04
693433,Bryan Woo,pitcher,2.099,2.099,0.0,24.0,0.53,87.2,2.38
